subject_id,group,image_id,layer,n_fixations,nss,auc_judd,sauc
S001,schizophrenia,img_0000,2,5,1.379818510992629,0.84953,0.6519999999999999
S001,schizophrenia,img_0000,3,5,1.0826870571419398,0.804928,0.616
S001,schizophrenia,img_0000,4,5,0.26125326473551735,0.591664,0.40800000000000003
S001,schizophrenia,img_0001,1,8,0.6049938027578665,0.6725625,0.359375
S001,schizophrenia,img_0001,2,8,0.7597889760997427,0.7046574999999999,0.428125
S001,schizophrenia,img_0001,3,8,0.6429628608329556,0.6845725,0.4328125
S001,schizophrenia,img_0001,4,8,1.0600706626807832,0.7674199999999999,0.446875
S002,schizophrenia,img_0000,1,12,1.0024409607941598,0.7872791666666668,0.5180555555555555
S002,schizophrenia,img_0000,2,12,1.5480298257275364,0.8853575,0.6993055555555556
S002,schizophrenia,img_0000,3,12,1.4677242320771748,0.912115,0.7076388888888888
S002,schizophrenia,img_0000,4,12,1.1960004538442768,0.8164366666666667,0.5909722222222222
S002,schizophrenia,img_0001,1,13,0.977762291191267,0.7772846153846154,0.4763313609467456
S002,schizophrenia,img_0001,2,13,1.1741403492074087,0.8217184615384616,0.5165680473372781
S002,schizophrenia,img_0001,3,13,1.0941298259134529,0.8148623076923076,0.5242603550295858
S002,schizophrenia,img_0001,4,13,1.5669966534396815,0.8075276923076922,0.49230769230769234
S003,schizophrenia,img_0000,1,12,0.9833171589193573,0.7735425,0.5479166666666667
S003,schizophrenia,img_0000,2,12,0.783446451973211,0.7210491666666667,0.4750000000000001
S003,schizophrenia,img_0000,3,12,0.9140363119054654,0.7591633333333334,0.49930555555555556
S003,schizophrenia,img_0000,4,12,1.1923410831417367,0.7572225,0.5645833333333332
S003,schizophrenia,img_0001,1,11,0.7581013398781355,0.7001281818181818,0.5107438016528926
S003,schizophrenia,img_0001,2,11,0.8290293765248844,0.7128854545454546,0.49338842975206615
S003,schizophrenia,img_0001,3,11,0.689441116114724,0.6970072727272728,0.4917355371900826
S003,schizophrenia,img_0001,4,11,1.318191381978167,0.7425672727272727,0.4462809917355372
S004,schizophrenia,img_0000,1,8,0.559238181583069,0.6599325,0.3796875
S004,schizophrenia,img_0000,2,8,0.7176749370204969,0.7031712499999999,0.4625
S004,schizophrenia,img_0000,3,8,0.9570395106723737,0.77193875,0.521875
S004,schizophrenia,img_0000,4,8,0.8135587698260741,0.7613475,0.521875
S004,schizophrenia,img_0001,1,12,0.6816931729922736,0.6992341666666667,0.39930555555555547
S004,schizophrenia,img_0001,2,12,0.9743306773922219,0.7697375,0.4569444444444445
S004,schizophrenia,img_0001,3,12,0.9136954025975413,0.7645933333333333,0.4708333333333334
S004,schizophrenia,img_0001,4,12,1.1569396384322572,0.7691250000000001,0.40902777777777777
S005,schizophrenia,img_0000,1,5,1.1031358541487528,0.8049259999999999,0.62
S005,schizophrenia,img_0000,2,5,1.6194145092485113,0.8981899999999999,0.716
S005,schizophrenia,img_0000,3,5,1.4121647981894951,0.896216,0.736
S005,schizophrenia,img_0000,4,5,1.0127106023636132,0.782934,0.592
S005,schizophrenia,img_0001,1,5,0.1205233454437532,0.549302,0.23199999999999998
S005,schizophrenia,img_0001,2,5,0.3274496752278078,0.6044320000000001,0.22399999999999998
S005,schizophrenia,img_0001,3,5,0.28471557296664884,0.5812900000000001,0.248
S005,schizophrenia,img_0001,4,5,0.5001633621368241,0.709728,0.31200000000000006
